item_id,sku,varied_by,title,upc,ean,isbn,gtin,missing_gtin,custom_upc_specific,upc_duplicated
256510047994,MCN-AKUADIVEKNIFE-BLACK-E2N,,"GEAR AID Akua Blunt Tip Paddle Knife with 3"" Serrated Blade and Sheath, Black",021563620603,,,021563620603,,,
256510047998,SON-TT-GLUEGUNSTICKKIT-15PC-BUN,,"ToolTreaux 10 Watt Mini Glue Gun and Hot Glue Sticks Crafting Supplies Kit, 15pc",810058483935,,,810058483935,,,
256510048002,SON-TCFPKCB12IX15I-BUN-4PC-4PK-CLR,,"Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch - 4pk",706569062052,,,706569062052,,,
256510048004,MCN-MMESBDMPT125OZ-2,,"GEAR AID Sea Buff Dive Mask and Slate Cleaner, 1.25 fl oz",021563408317,,,021563408317,,,
256510048006,SON-MINERMOSS-12X36GRN-HPNR,,"SE GP-MT415-2GG 12” x 36” Green Miner’s Moss (Sluice Box Matting)",,,,,YES,,
256510048011,MET-PCLC-PARENT,,"GEAR AID Ellipse Cord Locks, Black, Orange",,,,,YES,,
256510048011,MCN-GAPCLC-2PC-C-ORNG-AMZN,"Color; Style","GEAR AID Ellipse Cord Locks, Black, Orange",021563803105,,,021563803105,,,
256510048011,MCN-PCLCFBRAJ316INCH-2PC-C-BLCK-AMZ-HPN,"Color; Style","GEAR AID Ellipse Cord Locks, Black, Orange",021563803006,,,021563803006,,,
256510048011,MCN-PCLCFBRAJ316INCH-2PK-BUN,"Color; Style","GEAR AID Ellipse Cord Locks, Black, Orange",215631853646,,,215631853646,,,
256510048011,MET-PCLC-BUN-2PC-3PK-C-ORNG,"Color; Style","GEAR AID Ellipse Cord Locks, Black, Orange",215631238757,,,215631238757,,,
256510048012,HWK-MYLAR-BLANKET,,"ASR Outdoor First Aid Bug Out Emergency Light Mylar Foil Space Blanket",060886950608,,,060886950608,,,
256510048021,SON-JAROPENER-BJ094,,"Beille Rubber 4 in 1 Non Slip Multipurpose Adjustable Easy Grip Jar Opener Tool",810058482181,,,810058482181,,,
256510048023,MCN-DABUCKLE-PARENT,,"GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack",,,,,YES,,
256510048023,MCN-DABUCKLE-58INCH,"Size; MPN; Style","GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack",021563803457,,,021563803457,,,
256510048023,GEARAID-DUALADJ-6BUCKLESET-2INCH,"Size; MPN; Style","GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack",215638721184,,,215638721184,,,
256510048023,MCN-DABUCKLE-2INCH-HPNR,"Size; MPN; Style","GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack",021563803853,,,021563803853,,,
256510048023,MCN-DABUCKLE-34INCH-HPNR,"Size; MPN; Style","GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack",021563803556,,,021563803556,,,
