product_id,product_handle,product_title,skus
10246633947436,4pc-aluminum-eye-loupe-set-2-5x-5x-7-5x-10x,"4pc Premium Quality Aluminum Eye Loupe Set for Rock Hounding Geology Gold Prospecting (2.5X 5X 7.5X 10X)",SON-JEWELLOUPE-4PC-ALUM
9511352959276,4pk-aluminum-screw-in-tent-stakes-9-inch,"4pk Aluminum Screw in Tent Stakes, 9 Inch",SON-ASRO-ALUMTENTSTAKES-SILVER-4PC
8504457167148,4x-magnification-magnifying-tweezers-gold-panning-accessory,"4x Magnification Steel Magnifying Tweezers Gold Prospecting Equipment, 1 Pair",SON-MAGNIFYINGTWEEZER-1PK
9513041494316,5-gallon-bucket-portable-toilet-seat-with-lid,"5 Gallon Bucket Portable Toilet Seat",SON-ASRO-PORTABLETOILETSEAT-BLK
10253890748716,collapsible-water-container-5-gallon-portable-camping-emergency-water-storage,"5 Gallon Collapsible Water Container Portable Camping & Emergency Water Storage",COLLAPSIBLE-WATER-CARRIER-5-GALLON
8495203287340,50-aluminum-folding-sluice-box-gold-prospecting-equipment,"50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment",SON-FOLDINGSLUICEBOX-SLV
8517884444972,50-inch-aluminum-folding-sluice-box-for-gold-prospecting-backpack-kit-3-colors,"50 Inch Aluminum Folding Sluice Box Backpack Kit Gold Prospecting Equipment (4 Colors)","SON-FOLDINGSLUICEBOXBACKPACK-BUN | SON-FOLDINGSLUICEBOXBACKPACK-BUN-GREEN | SON-FOLDINGSLUICEBOXBACKPACK-KHAKI | SON-FOLDINGSLUICEBOXBACKPACK-BUN-BROWN"
9512943649068,55pc-compact-travel-first-aid-kit-in-resealable-bag,"55pc Compact Travel First Aid Kit in Resealable Bag",SON-ASRO-FIRSTAIDKIT-55PC
9652288487724,5lb-rough-brazilian-gemstone-paydirt-bag-geology-science-kit,"5LB Genuine Rough Gemstone Paydirt Bags, Rocks and Minerals Collection, Sift, Sort and Find Treasure","DOY-ASRO-BRZGEMSTONEPAYDIRT-5LB | DOY-ASRO-MDGRGEMSTONEPAYDIRT-5LB"
9657604243756,5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc,"5lb Genuine Tumbled Rocks and Rough Gemstone Paydirt Kits, 14pc (2 Styles)",
10069756018988,5lb-navy-blue-wool-blanket-camping-survival-gear-64-x-84-inches,"5lb Navy Blue Wool Blanket Camping Survival Gear, 64 x 84 Inches (70% Wool, 30% Synthetic)",SON-ASRO-64X84WOOLBLANKET-NVY-STD
8521967042860,gold-prospecting-black-sand-5lb-magnetic-steel-pocket-separator-pen,"5lbs Magnetic Black Sand Steel Pocket Separator Pen Pick Up Tool",SON-PICKUPPEN-5LB
8495190245676,gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers","SON-GOLDRUSHBEGINNERS-5PC-BUNDLE | SON-GOLDRUSHBEGINNERS-5PC-BUNDLE-BLK | SON-GOLDRUSHBEGINNERS-5PC-BUNDLE-BLU"
9511368261932,6-in-1-camping-kitchen-multi-tool-with-carrying-case-and-bottle-opener,"6 in 1 Camping Kitchen Multi-Tool with Carrying Case and Bottle Opener",SON-6I1CUM-2PC-55X1-GRN
9883653177644,6-25-inch-440-stainless-steel-mini-clip-point-fixed-blade-pocket-knife-2-colors,"6.25 Inch 440 Stainless Steel Mini Clip Point Fixed Blade Pocket Knife (2 Colors)","SON-ASRO-MINICLIPOINTBLADEKNIFE-BRN | SON-ASRO-MINICLIPOINTBLADEKNIFE-BLU"
9513008824620,6mm-water-bottle-holder-with-blue-aluminum-carabiner-attachment,"6mm Water Bottle Holder with Blue Aluminum Carabiner Attachment",SON-6MMWBHWBACA-BL
10068972994860,stainless-steel-hip-flask-6-oz-capacity-screw-cap-for-camping-hiking,"6oz Brushed 201 Stainless Steel and Chrome Screw Top Portable Pocket Flask",SON-SSHIPFLASK-6OZ
10101810626860,6pk-aluminum-carabiner-spring-clip-with-keychain-many-sizes-colors,"6pk Large Aluminum Carabiner Spring Clip with Keychain (3.25 Inches, Assorted Colors)","CARABINER-6PK-BLACK-LG | CARABINER-6PK-BLUE-LG | CARABINER-6PK-DBLUE-LG | CARABINER-6PK-GREEN-LG | CARABINER-6PK-SILVER-LG | CARABINER-6PK-PINK-LG | CARABINER-6PK-ORANGE-LG"
9512984052012,7-function-small-pocket-camping-utensil-flatware-spoon-fork-knife,"7 Function Small Pocket Camping Utensil Flatware, Spoon Fork Knife",SON-DHDCUT-2PC-4-SLVR
9979838169388,7-inch-folding-tactical-pocket-knife-with-drop-point-440-stainless-steel-blade-black,"7 Inch Folding Tactical Pocket Knife with Drop Point 440 Stainless Steel Blade, Black",SON-POCKETKNIFE-BLK-1
9516431376684,7-inch-jumbo-aluminum-carabiner-hiking-cushion-grip-6-colors,"7 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip (6 Colors)","SON-J65XCKCWHGB-XL-BLCK-2 | SON-J65XCKCWHGR-XL-RD-2 | SON-J65XCKCWHGB-XL-BL-3 | SON-J65XCKCWHGG-XL-GRN-2 | SON-J65XCKCWHGCS-XL-SLVR-2 | SON-J65XCKCWHGP-XL-PURPLE-2 | ASR-GRIPREDKEEPSPORTING-2"
9860432789804,matte-black-curved-hawkbill-full-tang-fixed-blade-knife-with-sheath-and-lanyard-7-inch,"7 Inch Matte Black Curved Hawkbill Full Tang Fixed Blade Knife with Sheath and Lanyard (3.25 Inch Blade)",SON-HAWKBILLKNIFE-BLCK
9882392428844,7-5-inch-drop-point-fixed-blade-knife-with-finger-hole-with-spin-bearings-and-sheath-brown,"7.5 Inch Drop Point Fixed Blade Knife with Finger Hole with Spin Bearings and Sheath, Brown",SON-ASRO-FINGERHOLEKNIFE-STD
8461244793132,asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)","SON-SLUICEBOXSET-7PC-BUNDLE | SON-SLUICEBOXSET-7PC-BUNDLE-ALUM"
