needs,product_title,variant,sku,current_gtin,current_mpn,MPN (fill in),UPC (fill in),correct GTIN-14,correct GTIN-13,handle,product_id,variant_id
4-ok (has GTIN),14 Inch Metal Detecting Sand Scoop with Coin Probe (3 Colors),Orange,SON-SCOOPNPROBE-GP3-SS23OR,810131700768,,PFSP-ORG23,810131700768,00810131700768,0810131700768,14-inch-metal-detecting-tool-sand-scoop-with-coin-probe-3-colors,10027574034732,51582203789612
4-ok (has GTIN),14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors),Black,SON-ASRO-GOLDPAN-14BLK,706569310139,,ASRO-GP14BLK,706569310139,00706569310139,0706569310139,14-inch-ridge-riffle-gold-pan-with-water-guide-2-colors,8517589303596,46028689244460
4-ok (has GTIN),14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors),Green,SON-ASRO-GOLDPAN-14GRN-PZ,189191741760,,gp-14green-782,189191741760,00189191741760,0189191741760,14-inch-ridge-riffle-gold-pan-with-water-guide-2-colors,8517589303596,46028689211692
4-ok (has GTIN),14 in 1 Stainless Steel ECD Utility Multitool Pocket Knife with Carry Pouch,Default Title,SON-SSMULTITOOL-WPOUCH-KC5011SP,810131704773,,AO-KC5011SP,810131704773,00810131704773,0810131704773,stainless-steel-multi-tool-edc-utility-17-function-pocket-knife-with-carry-pouch,9513212182828,49362403655980
4-ok (has GTIN),"14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)",Aluminum Sluice,SON-TRAVELGLDPNGKIT-GREEN-14PC-BUN,810058489272,,GLDPNKT14,810058489272,00810058489272,0810058489272,asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,8495198667052,45922115748140
4-ok (has GTIN),"14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)",Rubber Sluice,SON-TRAVELGLDPNGKIT-14PC-RUBBER,810058486981,,GLDPNKT14-R,810058486981,00810058486981,0810058486981,asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,8495198667052,45922115780908
4-ok (has GTIN),"14pc Beginner Finishing Gold Prospecting Equipment Gold Panning Kit, Black",Default Title,DOY-BLACKPANESSENTIALGEMS-KIT-WSH,617245081253,,22237,617245081253,00617245081253,0617245081253,14pc-finishing-gold-prospecting-equipment-gold-panning-kit-black,8521749922092,46059470127404
4-ok (has GTIN),"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)",1/2 Inch,SON-SIFTCLASSKIT-14PC-BUN,810131709815,,ASRO14PCGKSIFT,810131709815,00810131709815,0810131709815,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,8791674552620,47931188707628
4-ok (has GTIN),"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)",1/4 Inch,SON-14INCHSIFTCLASSKIT-14PC-BUN,810131703158,,ASRO-PH9XG098,810131703158,00810131703158,0810131703158,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,8791674552620,47931188805932
4-ok (has GTIN),"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)",1/8 Inch,SON-18INCHSIFTCLASSKIT-14PC-BUN,810131700225,,ASRO-5M288SZX,810131700225,00810131700225,0810131700225,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,8791674552620,47931188773164
4-ok (has GTIN),14pc Remote Adventure 30L Rucksack Gold Panning Kit with Classifier Screens (3 Colors),Black,SON-ASRO-REMOTERUCKSACKGPKIT-14PC-BLK,810131706173,,ASRO-9TWGRQI3,810131706173,00810131706173,0810131706173,asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black,9994170827052,51582206279980
4-ok (has GTIN),14pc Remote Adventure 30L Rucksack Gold Panning Kit with Classifier Screens (3 Colors),Desert Khaki,SON-ASRO-REMOTERUCKSACKGPKIT-14PC-KHK,810131706173,,ASRO-YUX54AQS,810131706173,00810131706173,0810131706173,asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black,9994170827052,51582206345516
4-ok (has GTIN),14pc Remote Adventure 30L Rucksack Gold Panning Kit with Classifier Screens (3 Colors),Green,SON-ASRO-REMOTERUCKSACKGPKIT-14PC-GRN,810131702847,,ASRO-UXN04W9F,810131702847,00810131702847,0810131702847,asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black,9994170827052,51582206312748
