"sku","parent.sku","name","character_walmart","modelnumber_walmart","pattern_walmart","theme_walmart","special_features_amazon","mpn_amazon","number_of_pieces_amazon","style_name_amazon","scale_name_amazon","light_source_type_amazon","outer_material_type_amazon","color_amazon","capacity_walmart","frame_material_type_amazon","recommendedroom_walmart","mounting_type_amazon","team_name_amazon","size","design_amazon","vehicletype_walmart","auto_part_position_amazon","sportvalue_walmart"
"SON-AOES5LWFCP-LG-CLR","","ASR Outdoor Emergency Survival 5 Liter Water Flask Compact Portable","","","","","","","","","","","","","","","","","","Large","","","",""
"ASR-GTWATMWST-BUN-2PC-BNDL","","A Comprehensive Guide to Wilderness and Travel Medicine With Survival Tool","","","","","","","","","","","","Multicolored","","","","","","Small","","","",""
"ASR-HWW8HPS-BUN-PARENT","","ASR Outdoor Hand Warmers Heat Pads 10 Hour Protection for Camping, Hiking, Outdoors","","","","","","","","","","","","","","","","","","","","","",""
"SON-J65XCKCWHGB-XL-BLCK","","Jumbo 6.5 Inch XL Carabiner Key Chain  - Black","","","","","","","","","","","","Black","","","","","","XL","","","",""
"SON-J65XCKCWHGR-XL-RD","","Jumbo 6.5 inch XL Carabiner Key Chain Outdoor Rec - Red","","","","","","","","","","","","Pink","","","","","","XL","","","",""
"ASRO-PARABRACEBUCKLE-PARENT","","ASR Outdoor Paracord Bracelet Side Release Buckle Multipack Set (20MM, .75in)","","","","","","","","","","","","","","","","","","","","","",""
"ASRO-TECHNORA-600LB-BLACK-PARENT","","ASR Outdoor Braided Technora 600lb Survival Cord Rope (Many Lengths)","","","","","","","1","","","","","","","","","","","","","","",""
"ASRO-TECHNORA-950-ROPE-NATURAL-PARENT","","ASR Outdoor Braided Technora 950lb Survival Cord Rope - Natural (Many Lengths)","","","","","","","","","","","","","","","","","","","","","",""
"DLX-UHDCHCTB-11X5X4","","Universal Home Dual Compartment Hobby Craft Tool Box Portable Workshop Storage","","","","","","","","","","","","Black","","","","","","11.5 x 6 x 4 inch","","","",""
"SON-HPS-105-RD","","Hand Pruning Saw Gardening Tool For Home Outdoor Plants","","","","","","","","","","","","","","","","","","10.5""","","","",""
"SON-875ISSMFT-2PC-6X4X1","","ASR Outdoor Stainless Steel 8.75in Folding Trowel with Belt Loop Attachment","","","","","","","","","","","","","","","","","","6"" x 4"" x 1""","","","",""
"ASR-SO4BGMN-BUN-2PC-2PK-LG-BLCK","","Set of 4 Non-Stick BBQ Grill Mats Reusable Easy to Clean","","","","","","","","","","","","","","","","","","Large","","","",""
"ASR-WDACS-BUN-3PC-MED-BNDL","","Wolf Dagger 3pc American Flag Knife Collector Set","","","","","","","","","","","","3pc Wolf Set","","","","","","13.5""","","","",""
"SON-BGMN-LG-BLCK","","BBQ Grill Mat Non-Stick Heavy Duty Outdoor Patio Eating and Cooking Tools - 2Pk","","","","","","","","","","","","Black","","","","","","Large","","","",""
"SON-3IN1CUSKFS-3PC-ONE-SLVR","","ASR Outdoor 3pc Camping Utensil Set Military Ration Knife Fork Spoon Accessories","","","","","","","","","","","","","","","","","","One Size","","","",""
"CARABINER-6PK-PARENT","","6 Pack Aluminum Multi-Color Carabiner Spring Clip Keychain (Many Sizes, Colors)","","","","","","","","","","","","","","","","","","","","","",""
"SON-J65XCKCWHGB-XL-BL","","Jumbo 6.5 inch XL Carabiner Key Chain  - Blue","","","","","","","","","","","","Blue","","","","","","XL","","","",""
"CARABINER-JUMBO-PARENT","","7 Inch Jumbo Aluminum Carabiner Hiking Cushion Grip (6 Colors)","","","","","","","","","","","","","","","","","","","","","",""
"CHAINSAW-SHARPENING-BURR-3-16","","3/16"" File Chain Saw Blade Diamond Sharpening Burr Shank 120 Grit","","","","","","","","","","","","Silver","","","","","","3/16""","","","",""
"SON-J65XCKCWHGP-XL-PURPLE","","Jumbo 6.5"" XL Carabiner Key Chain  - Purple","","","","","","","","","","","","","","","","","","XL","","","",""
"db_1146","","Orange Emergency Hammer Window Punch Seat Belt Cutter 2pk","","","","","","","","","","","","","","","","","","Large","","","",""
"SON-ABSAS-15PC-A-BLCK","","ToolTreaux Artist Paint Brushes Natural Hair Bristles Wooden Grip Assorted 15pc","","","","","","","","","","","","","","","","","","Multi-Color","","","",""
"NPT-BKCAHBSWCC-2PC-H-BLCK","","ASR Outdoor Camping Axe Hatchet - Black Steel With Cord Cutter","","","","","","","","","","","","Black","","","","","","Handheld","","","",""
"SON-SGSURSB-10PC-11-MTL","","10pc Sterile Surgical Grade Replacement Scalpel Blades Universal Fit - Size 11","","","","","","","","","","","","","","","","","","11","","","",""
"SON-CSTBS-33PC","","ToolTreaux Chrome Vanadium Steel Security Bit Set Magnetic Extension Holder 33pc","","","","","","","","","","","","","","","","","","","","","",""
"SON-WBC-LG-BL","","ASR Outdoor Waterproof Durable Backpack Cover Blue Universal Fit Adjustable Draw String","","","","","","","","","","","","Blue","","","","","","Large","","","",""
"SON-SSCHF8OZ-8O-SLVR","","Chrome Stainless Steel Premium Portable Hip Flask 8oz","","","","","","","","","","","","","","","","","","8 oz","","","",""
"MCN-RDJASBD12OZ-12OZ","","Gear Aid ReviveX Restoration Down Fabric Cleaner Jacket and Sleeping Bag - 10 oz","","","","Outdoor, Camping, Hiking","","","","","","","","","","","","","","10oz","","","",""
"DEL-SCISSOR-GB","","Universal Tool Multipurpose Kitchen Scissors - Black or Green","","","","","","","","","","","","Multicolor","","","","","","8""","","","",""
"SON-PRB18THSFRT-11PC","","10pc Universal Tool High Speed Steel Titanium Mini Router Drill Bits","","","","","","","","","","","","","","","","","","Medium","","","",""
"UPD-MICKEY-JUMP-ROPE","UPD-DELUXEJUMPROPE-PARENT","Disney Mickey Mouse Roadster Racers Jump Rope Kids Exercise Toy","","","","","","","","","","","","Blue","","","","","","Small","","","",""
"DLT-22OZCUP-209818-MIN","","Disney Minnie Mouse Kids Plastic Drinking Cup Large 22 Ounce Food Safe Cup","Minnie Mouse","","","dress up, pretend play","","","","","","","","","","","bedroom, living room, dining room","","","22oz","","","",""
"DLT-BIBLEBOOK-280505-2PK-ASST-BUN","","Kidplokio Bible Coloring Book for Kids Activity Book with Puzzles 96 Pages - 2pk","Bible","","","Bible","","","","","","","","Purple","","","","","","2pk","","","",""
"DLT-CHARSTOCKS-PARENT","","Licensed Kids Felt Embossed Christmas Stocking Holiday Decor (Many Styles)","","","","christmas gifts, home decor, christmas","","","","contemporary","","","","","","","","","","15.5""","","","",""
"DLT-JUMBO-PLAYINGCARDS-HATCHIMALS","DLT-JUMBO-PLAYINGCARDS-PARENT","Cardinal Licensed Hatchimals Jumbo Printed Graphic Playing Cards","","","","","","","","","","","","Hatchimals","","","","","","Large","","","",""
"DLT-STOCKING-PJM","","PJ Masks Kids Felt Embossed Christmas Stocking 15.5 Inch Holiday Decor","","","","","","","","contemporary","","","","PJ Masks","","","","","","15.5""","","","",""
"DLX-COLLAPBAG-27-CG108","","ASR Outdoor Foldable Portable Clear Camping Collapsible Water Storage Bag 2.8L","","","","","reusable","","","","","","","","","","","","","16.9oz","","","",""
"DLX-LINTEROLLER2REFILLS-1PK","","Universal Household Supplies Lint Roller and 2 Refills 10 Sheets Per Roll","","","","","","","","","","","","Blue","","","","","","","","","",""
"DLX-NAILFILES-18PC","","Home Essentials Nail Files Buffers Emery Boards Beauty Tools Set Mani Pedi 18pc","","","","","","","","","","","","","","","","","","Assorted","","","",""
"DLX-NAILTOOLSET-3PC","","Home Essentials Professional Manicure Pedicure Nail Art Tool Set 3 Pieces","","","","","","","","","","","","","","","","","","Small","","","",""
"UPD-FLOWERCLIP-11496446-PRINCESS","","Disney Princess Purple Flower Hair Clip Accessory for Girls Dress Up","Disney","","","dress up, pretend play","","","","","","","","Purple","","","bedroom, living room, dining room","","","Small","","","",""
"UPD-FIDGETTOY-PW418-PNK","UPD-FIDGETTOY-PW418-PARENT","Paw Patrol Push Pop It Sensory Fidget Toy Stress Relief for Kids Keychain - Pink","","","","","","","","","","","","Pink","","","","","","4.5""","","","",""
"DOY-4PRONGCLOCKKEY-EVEN","","Universal Tool Antique Grandfather Brass Clock Key 4 Prongs - Even Numbers","","","","","","","","","","","","Gold","","","","","","Even","","","",""
"DOY-4PRONGCLOCKKEY-ODD","","Universal Tool Antique Grandfather Brass Clock Key 4 Prongs - Odd Numbers","","","","","","","","","","","","Gold","","","","","","Odd","","","",""
"DOY-GARDENKIT-BUN","","ToolTreaux Garden Tools Set with Fork Hoe Rake Shovel Spade Digger Gloves 9pc","","","","","","","","","","","","Black","","","","","","9pc","","","",""
"DOY-NORALACE-2500-PARENT","","ASR Tactical TitanLace 2500 Technora Work Boot Lace (Multiple Sizes and Colors)","","","","","","","","","","","","","","","","","","","","","",""
"SON-FOLDING-SHOVEL-87950MS","","ASR Outdoor 16"" 3 IN 1 Emergency Preparedness Mini Folding Shovel Pick and Saw","","","","","","","","","","","","","","","","","","","","","",""
"SON-STRETCHLAMP-200L","","ASR Outdoor 3 in 1 Head Lamp 1.5 Watt COB Bulb 200 Lumen LED Light 3 Stages","","","","","","","","","","","","","","","","","","Small","","","",""
"SHM-UV9LF-SML-BLCK","","ASR Federal 51 LED UV Black Light 395nm Dual Mode Flashlight 6 Inch","","","","","","","","","","","","Black","","","","","","Small","","","",""
"HWK-CARRYALLBAG-13PCKT","","ASR Outdoor 13 Pocket Treasure Hunter Metal Detector Bag for Rock Hounding, Gold Prospecting","","","","","","","","Rock Hounding Kit","","","","Green","","","","","","15"" x 13"" x 5""","","","",""
"DOY-STORCONT-4COMP","","ToolTreaux Clear 4 Compartment Plastic Pop Top Storage Organizer","","","","Hobby","","","","","","","","Clear","","","","","","4\"" x 3.3\""","","","",""
"EVR-CANVAS-BACKPACK-PARENT","","ASR Outdoor 30L Heavy Stitch Gold Panning Backpack Camping Canvas Rucksack","","","","gold panning, Gardening, Outdoor, Metal Detector","","","","","","","","","","","","","","Large","","","",""
"EVR-GRIPTAPEBP-ODGRNNVY","","ASR Outdoor 19L Griptape Backpack Dual Zip Two Tone Navy OD Green Travel Bag","","","","","","","","","","","","","","","","","","16""","","","",""
"EVR-ROUNDDUFFE23L-BLK","","ASR Outdoor Round Duffel Bag Adjustable Shoulder Strap Travel 16 Liter","","","","","","","","","","","","","","","","","","16""","","","",""
"FLL-BOSDTBO-L375LD5-BLCK","","Battle Round Personal Bottle Opener Stealth Key Chain","","","","","","","","","","","","","","","","","","Small","","","",""
