"sku","parent.sku","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay","name"
"SON-TT-GLUEGUNSTICKKIT-15PC-BUN","","","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","5","(1) glue gun
(14) hot glue sticks","","0.4","3","TZ65516500","","ToolTreaux 10 Watt Mini Glue Gun and Hot Glue Sticks Crafting Supplies Kit, 15pc"
"SON-TTX-DRILLBITS-15PC","","","Silver","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","0.1","8.5","(1) 15pc Set of Drill Bits","","0.04","3.25","TTX15DBS","","Tooltreaux High Speed Stainless Steel Drill Bits Set 1.05 to 2mm 15 Pieces"
"SON-TWEEZERSET-4PC","","Universal Tool","Grey","China","","UTTWZST4PC","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","0.25","6.5","(4) Tweezers(1) Plastic Pouch","4","0.15","3.5","UTTWZST4PC","","Universal Tool Stainless Steel Tweezer Set Assorted Tips Precision Tools - 4pc"
"SON-U3IRHC-MED-SLVR","SON-U3IRHC-MED-SLVR-PARENT","","","","","","","","","","","","","","","","","","","","","","","1pk Universal Rubber Head Clamps 3 Inch Secure Lever Lock Metal Body Outdoor"
"SON-UDRTASSPC-228PC-MTL","","Universal","Metal","China","","dc-145p-194","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","Universal","","","Metal","3","18","(228) Rotary Accessories(1) Wooden Case","228","1.3","12","dc-145p-194","","228pc Universal Deluxe Rotary Tool Accessory Set for Sanding Polishing Cutting"
"SON-UMLDSHS-BLCK","","Universal","Black","China","","UMSHS-1","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","aluminum","2","10","*(1) Single Head Stethoscope","1","0.3","6","UMSH11","","Medical Lightweight Diagnostic Non Chill Single Head Stethoscope 30in Universal"
"SON-UT12IPT-LG-BL","","SE","Blue","China","","UT12PT-342","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","16","*(1) Universal Tool Paper Trimmer 12""","","0.5","5","PC1212","","SE Paper Trimmer 12 Inch Cutting Board Magnetic with Grid Guide Base"
"SON-UT12IPT-LG-BL-2","","Universal Tool","Blue","China","","UT12PT-177","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","16","*(1) Universal Tool Paper Trimmer 12""","","0.5","5","UT12PT-177","","Universal Tool Paper Trimmer 12 Inch Cutting Board Magnetic with Grid Guide Base"
"SON-UTPEBS-3PC-123814I-GRY","","Universal Tool","Grey","China","","PEBS-3-834","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","5","(3) Power Extension Bits","3","0.23","4","PEBS-3-834","","Universal Tool Professional Power Extension Socket Bits for Drills 3pc Set"
"SON-UTPSCRASIWB-LG-TN","","Universal Tool","Tan","China","","UT-100WBK-45","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","2","8.5","* (1) Universal Tool 100pc Polish Sand Cut Rotary Accessory Set in Wooden Box","","1.18","6","UT-100WBK-45","","100pc Polish Sand Cut Rotary Accessory Set in Wooden Box"
"SON-UTTHDFSSP-1025-WDN","","Universal Tool","Wooden","India","","THDH-SS","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Wood/Steel","1.5","11","*(1) Dual Head Texturizing Hammer - Rounded Stripes & Square Dimples","","0.68","3","THDH-SS","","Universal Tool Texturising Hammer Dual Face Square Stripe Patterns Wooden Handle"
"SON-UTWBPSWAT-9PC-STD-RD-2","","Universal Tool","Red","China","","9PCWBTS-51","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","3","9","(1) 9pc Wood Burning Pen Set","","0.44","6","9PCWBTS-51","","Deluxe 9 Piece Wood Burning Pen Burn-in Tool, Arts and Craft Hobby Kit"
"SON-UVBLACKLIGHT-BLK","","ASR Tactical","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","1","6.25","(1) 2 in 1 Portable Black Light Flashlight","","0.22","2.25","ASRUVBLFL","","ASR Portable UV Black Light with LED Flashlight Verify IDS Passports Cards"
"SON-WAISTTRAVELBELT-BLK","","ASR Outdoor","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","PVC","0.5","9.5","(1) ASR Outdoor Water Resistant Travel Belt","","0.24","2.5","ASROWTBBLK","","ASR Outdoor Water Resistant Storage Belt Waist Travel Pouch Adjustable Buckle"
"SON-WATERPROOF-NOTEBOOK","","ASR Outdoor","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","5","3","(1) Waterproof Notebook(1) Pencil","2","0.13","0.5","F6KN2115","","ASR Outdoor Waterproof Adventure Writing Journal Smudgeproof Personal Notebook"
"SON-WATERPROOF-NOTEBOOK-IR-TT","","","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","5","3","","","0.13","0.5","ASROMWTRPFNB1","","ASR Outdoor Waterproof Notebook with Pencil Smudgeproof Mini Pocket Journal"
"SON-WRRFSDE175MM-10PC-SML-SLVR","","Universal Tool","Silver","China","","CCRF175-2-341","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","10","(10) Coarse Rasp Riffler Files","10","0.24","7","CCRF175-2-341","","ToolTreaux 10pc Double Ended Fine Cut Riffler File Set for Metal Jewelry Work"
"SVT-SOUTHWESTSOCKS-BLU","SVT-SOUTHWESTSOCKS-VARIOUS-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor Blue Aztec Mens Socks Hiking Gear Camping Accessories, 1 Pair"
"UNI-ZIP-CABLE-WHITE-4MM","UNI-ZIP-CABLE-PARENT","Universal Tool","White","China","","CT-100-498","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","12","(100) Cable Ties","","0.7","5","CT-100-498","","100pk 12in Universal Utility Cable Zip Tie Cable White 4MM"
"UNV-CCPW2XM-BUN-2PK","","","","United States","Pocket","EV-0211-619","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","","1","9","*(2) Credit Card Magnifiers","","0.1","6","EV-0211-619","","Lot 2 Magnifying Credit Card Pocket Wallet Magnifier"
"UNV-TCFPKCB-BUN-2PC-3PK-12B15-CLR-6PACK","UNV-TCFPKCB-PARENT","","","","","","","","","","","","","","","","","","","","","","","(6 Pack) Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch"
"UNV-UHAOUKK-BUN-6PK-S-ASSRTD","","Universal Tool","Assorted","China","","UK-687-724","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","9","* (6) Utility Knives","","0.55","7","UK-687-724","","6 Pack Utility Knives Home and Office Razor Blades"
"UNV-URCHCTFTW6EB-BUN-4PK-8","","Universal Tool","Multi","China","","FC1003","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.25","10","(4) Razor Combs
(24) Bonus Blades","","0.48","3","FC1003","","Unisex Razor Comb Home Hair Cut Thinning Feathering Trimming 6 Extra Blades 4pk"
"UPD-PRINCESSHAIRBACKPACK-SM","","KidPlay Products","Disney Princess","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","2.5","7.25","(1) Disney Princess Hair Accessory Backpack(6) Hair Ponies(2) Barrettes(1) Comb(1) Mirror","","0.25","6","DPGHABP2","","Disney Princess Girls Hair Accessories Backpack with Comb Mirror Hair Ponies"
"UPD-INCRED-2-PENCIL-6PK","","Disney Co.","Red","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Wood","0.1","7.5","(6) Pencils","","0.1","0.1","SDF9VD-2PIC2","","Disney Pixar Incredibles 2 Personalized Pencils Hero Super Star Awesome 6 Pack"
"UPD-INCRED-2-STATIONERY-9PC","","Disney Co.","Red","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","0.5","10.75","1 Pencil1 Note Pad1 Pencil Sharpener1 Eraser5 Markers","","0.2","6","IN2ST9PC","","Disney Pixar Incredibles 2 9 pc Stationary Set"
"XGI-URBANPLAYMAT-POLICE-KP-IH","XGI-URBANPLAYMAT-KP-IH-PARENT","Kidplokio","Police Station","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Polyester","16","11","(1) City Play Mat(2) Police Themed Toy Vehicles(5) Traffic Sign Play Accessories","","1.02","3","KP-RLUT-P21","","Kidplokio 8pc Urban City Police Friction Powered Toy Cars with Play Mat, Blue, Boys Ages 3+"
"ASR-15PC-3LB-PAYDIRT-ALUMINUM","ASR-15PC-3LB-PAYDIRT-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 3lb Paydirt Backpack Gold Panning Kit Mini Auminum Sluice Box, 15pc"
"SON-GR4XTVCSACK-5PC-SML-BLCK","","","Black","CN","","TWEEZVIAL-563","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","5","*(1) 4x Tweezer 
*(4) Collection Vials","","0.12","3","TWEEZVIAL-563","","Gold Rush 4x Tweezer & Vial Combo Set (BUNDLE COMPONENT SKU)"
"MCN-AKUADIVEKNIFE-BLACK-E2N","","","","","","","","","","","","","","","","","","","","","","","","GEAR AID Akua Blunt Tip Paddle Knife with 3"" Serrated Blade and Sheath, Black"
"MCN-ODORELIMINATOR-GALLON-PZ","","","","","","","","","","","","","","","","","","","","","","","","Gear Aid Wash-In Odor Eliminator - 1 Gallon"
"MCN-FSABRA-1OZ-CLR-PARENT","","","","","","","","","","","","","","","","","","","","","","","","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz"
"MCN-CAMOFORM-EBAY2-PARENT","","","","United States","","","","","","","","","","","","","","","","","","","","GEAR AID Camo Form Self-Cling Reusable Camouflage Wrap 2” x 144”, Various Colors"
