category_id,category_name,upc_essential
168049,Twilight,NO
413,Other Sci & Med Collectibles,NO
4064,Other Medical Collectibles,NO
4066,Dentistry,NO
4067,Medical Devices,NO
4068,Medical Paper,NO
15910,Nursing,NO
15911,Pharmaceutical,NO
3636,Telescopes,NO
4084,Other Optical Collectibles,NO
104035,Kaleidoscopes,NO
170269,Binoculars,NO
4087,Surveying Equipment,NO
14017,Drafting Tools,NO
14018,Slide Rules,NO
14019,Other Engineering Collectibles,NO
414,Other Vintage Science Equip,NO
14021,Barometers,NO
14022,Thermometers,NO
14023,"Microscopes, Lab Equipment",NO
3632,Other Mining Collectibles,NO
15913,Equipment,NO
15914,Paper Items,NO
156520,"Stickers, Decals",NO
157026,Magnets,NO
171196,Price Guides & Publications,NO
14056,Atlases,NO
582,Other Collectible Maps,NO
1413,US,NO
14057,Mixed Lots,NO
20285,Canada,NO
20286,Europe,NO
165758,Africa,NO
165759,Asia,NO
165760,Australia & Oceania,NO
165761,Central & South America,NO
165762,World,NO
165757,Celestial & Planetary,NO
130,Other Railroadiana,NO
4124,Other Railroadiana Hardware,NO
4126,Badges & Emblems,NO
4128,Lanterns & Lamps,NO
4130,Tools,NO
95163,Spikes & Nails,NO
95164,"Whistles, Bells & Horns",NO
4127,Dinnerware & Utensils,NO
1445,Other Railroadiana Paper Items,NO
4133,Brochures,NO
4134,Employee Timetables,NO
4135,Passes & Tickets,NO
4136,Public Timetables,NO
4137,Rule Books,NO
14060,Calendars,NO
35974,Playing Cards,NO
36010,Annual Reports,NO
4132,1900-Now,NO
40053,Pre-1900,NO
67758,Magazines,NO
86958,Advertising,NO
95165,Maps,NO
95166,Menus,NO
95167,Stock Certificates & Bonds,NO
165791,Documents & Letters,NO
165792,Manuals & Guides,NO
165793,Newspapers,NO
7195,Canadian Railroadiana & Trains,NO
67759,"Prints, Posters & Paintings",NO
35975,Photographs,NO
71011,Slides,NO
74725,Other Collectible Train Photos,NO
74726,Negatives,NO
74727,Videos,NO
95168,Watches & Pocket Watches,NO
165788,Apparel,NO
165789,Clocks,NO
165790,Hats & Caps,NO
165794,Magnets,NO
165795,Mugs & Cups,NO
165796,"Patches, Pins & Buttons",NO
165797,Signs & Plaques,NO
4150,Other Transport. Collectibles,NO
4151,Buses & Taxi Cabs,NO
4152,Subways,NO
10957,Other Motorcycle Collectibles,NO
10962,Indian,NO
14059,Other US Motorcycle Items,NO
10960,Other Harley Collectibles,NO
35967,Badges & Patches,NO
35968,"Dishes, Cups & Mugs",NO
35969,Lighters,NO
35970,Pins & Buttons,NO
35971,Posters & Prints,NO
35972,Signs,NO
35973,Stickers & Decals,NO
60219,Belt Buckles,NO
60220,Hats,NO
60221,Pens,NO
60222,T-Shirts,NO
71006,Flags,NO
71007,Jackets,NO
71008,Jewelry,NO
71009,Vests,NO
71010,Watches,NO
95160,Bandanas & Scarves,NO
95161,"Manuals, Handbooks & Catalogs",NO
165763,Playing Cards,NO
95162,Orange County Choppers,NO
10959,Other Euro Motorcycle Items,NO
165765,BMW,NO
165766,BSA,NO
165767,Ducati,NO
165768,Guzzi,NO
165769,Norton,NO
165770,Triumph,NO
10961,Other JPN Motorcycle Items,NO
165772,Honda,NO
165773,Kawasaki,NO
165774,Suzuki,NO
165775,Yamaha,NO
165777,Diecast & Models,NO
165778,License Plates,NO
165779,Magazines,NO
165780,Motorcycle Gear,NO
165781,Newspapers,NO
165782,Patches,NO
165783,Photographs,NO
165784,Pins & Buttons,NO
165785,Signs,NO
165786,Stickers & Decals,NO
165787,Other Motorcycle Memorabilia,NO
418,Other Automobilia,NO
14025,Badges,NO
14028,Clothing & Hats,NO
14029,Decals & Stickers,NO
421,Other US License Plates,YES
14031,Canada,NO
14032,US: California,NO
14033,US: Colorado,NO
14034,US: Florida,NO
14035,US: Illinois,NO
14036,US: Kansas,NO
14037,US: New York,NO
14038,US: Ohio,NO
14039,US: Pennsylvania,NO
14040,US: Texas,NO
20273,US: Alabama,NO
20274,US: Indiana,NO
20275,US: Iowa,NO
20276,US: Maine,NO
20277,US: Massachusetts,NO
20278,US: Michigan,NO
20279,US: Montana,NO
20280,US: New Hampshire,NO
20281,US: Oregon,NO
20282,US: Tennessee,NO
20283,US: Wisconsin,NO
20979,US: Virginia,NO
25428,US: Minnesota,NO
25429,US: Missouri,NO
25430,US: Nebraska,NO
25431,US: New Jersey,NO
25432,US: North Carolina,NO
32770,US: Arizona,NO
32771,US: Kentucky,NO
32772,US: Mixed State Lots,NO
35940,US: Alaska,NO
35941,US: Connecticut,NO
35942,US: Delaware,NO
35943,US: District of Columbia,NO
35944,US: Georgia,NO
35945,US: Hawaii,NO
35946,US: Idaho,NO
35947,US: Louisiana,NO
35948,US: Maryland,NO
35949,US: Mississippi,NO
35950,US: New Mexico,NO
35951,US: North Dakota,NO
35952,US: Oklahoma,NO
35953,US: Rhode Island,NO
35954,US: Utah,NO
35955,US: Vermont,NO
35956,US: Washington,NO
