category_id,category_path,listing_count,upc_support,ean_support,isbn_support
183125,"Crafts|Multi-Purpose Craft Supplies|Adhesives & Tape|Other Adhesives & Tape",2,REQUIRED,DISABLED,DISABLED
122838,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Saw Blades|Other Saw Blades",2,ENABLED,DISABLED,DISABLED
62134,"Sporting Goods|Fitness, Running & Yoga|Fitness Equipment & Gear|Jump Ropes",2,ENABLED,DISABLED,DISABLED
10324,"Jewelry & Watches|Watches, Parts & Accessories|Parts, Tools & Guides|Parts|Other Watch Parts",1,ENABLED,DISABLED,DISABLED
112601,"Home & Garden|Home Improvement|Home Security|Safes",1,ENABLED,DISABLED,DISABLED
181397,"Sporting Goods|Camping & Hiking|Camping Hygiene & Sanitation|Portable Toilets",1,ENABLED,DISABLED,DISABLED
178964,"Health & Beauty|Shaving & Hair Removal|Razors & Razor Blades|Women's Razors",1,ENABLED,DISABLED,DISABLED
179791,"Sporting Goods|Boxing, Martial Arts & MMA|Training Equipment & Supplies|Other Combat Sport Training",1,ENABLED,DISABLED,DISABLED
178968,"Home & Garden|Tools & Workshop Equipment|Measuring & Layout Tools|Chalk Lines & Marking Tools",1,ENABLED,DISABLED,DISABLED
83982,"Crafts|Multi-Purpose Craft Supplies|Crafting Tools|Cutting Tools|Craft Knives & Blades",1,REQUIRED,DISABLED,DISABLED
20871,"Sporting Goods|Tennis & Racquet Sports|Tennis|Racquets",1,ENABLED,DISABLED,DISABLED
177887,"Sporting Goods|Hunting|Range & Shooting Equipment|Benches & Rests",1,ENABLED,DISABLED,DISABLED
180927,"Crafts|Sewing|Closures & Connectors|Hook & Loop Tape",1,ENABLED,DISABLED,DISABLED
45452,"Baby|Bathing & Grooming|Health & Grooming",1,ENABLED,DISABLED,DISABLED
88433,"Everything Else|Every Other Thing",1,ENABLED,DISABLED,DISABLED
111261,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Blankets, Liners & Pillows",1,ENABLED,DISABLED,DISABLED
165638,"Collectibles|Pens & Writing Instruments|Pens|Ballpoint Pens|Handmade Pens",1,DISABLED,DISABLED,DISABLED
42632,"Home & Garden|Tools & Workshop Equipment|Measuring & Layout Tools|Other Measuring & Layout Tools",1,ENABLED,DISABLED,DISABLED
41369,"Crafts|Home Arts & Crafts|Metalworking",1,ENABLED,DISABLED,DISABLED
177006,"Home & Garden|Kitchen, Dining & Bar|Kitchen Storage & Organization|Vacuum Flasks & Mugs",1,ENABLED,DISABLED,DISABLED
11662,"Collectibles|Kitchen & Home|Kitchen Tools & Gadgets|Graters & Zesters",1,ENABLED,DISABLED,DISABLED
36345,"Business & Industrial|CNC, Metalworking & Manufacturing|Workholding & Toolholding|Workholding|Other Workholding",1,ENABLED,DISABLED,DISABLED
182183,"Toys & Hobbies|Radio Control & Control Line|RC Model Vehicles & Kits|Cars, Trucks & Motorcycles",1,ENABLED,DISABLED,DISABLED
20561,"Home & Garden|Home Décor|Clocks|Wall Clocks",1,ENABLED,DISABLED,DISABLED
51023,"Toys & Hobbies|Wholesale Lots|Diecast Toy Vehicles",1,ENABLED,DISABLED,DISABLED
87125,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Hydration Packs",1,ENABLED,DISABLED,DISABLED
29464,"Collectibles|Cultures & Ethnicities|Western Americana|Belt Buckles",1,DISABLED,DISABLED,DISABLED
183696,"Crafts|Beads & Jewelry Making|Beading & Jewelry Making Tools|Jewelry Punches & Stamps",1,REQUIRED,DISABLED,DISABLED
183145,"Crafts|Leathercrafts|Leather Treatments & Paints|Polishing & Creasing Tools",1,REQUIRED,DISABLED,DISABLED
53152,"Business & Industrial|Facility Maintenance & Safety|Personal Protective Equipment (PPE)|Ear Plugs & Ear Muffs|Ear Plugs",1,ENABLED,DISABLED,DISABLED
65976,"Sporting Goods|Fishing|Clothing, Shoes & Accessories|Coats, Jackets & Vests",1,ENABLED,DISABLED,DISABLED
11742,"Toys & Hobbies|Outdoor Toys & Structures|Other Outdoor Toys, Structures",1,ENABLED,DISABLED,DISABLED
75235,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Knives",1,ENABLED,DISABLED,DISABLED
261974,"Jewelry & Watches|Children's Jewelry|Bracelets & Charms",1,ENABLED,DISABLED,DISABLED
145939,"Toys & Hobbies|Educational|Reading & Writing|Grade School",1,ENABLED,DISABLED,DISABLED
87122,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Daypacks",1,ENABLED,DISABLED,DISABLED
166571,"Toys & Hobbies|Games|Card Games & Poker|Playing Cards",1,ENABLED,DISABLED,DISABLED
2993,"Clothing, Shoes & Accessories|Men|Men's Accessories|Belts",1,ENABLED,DISABLED,DISABLED
106123,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Shoe Cleaners, Conditioners & Polishes",1,ENABLED,DISABLED,DISABLED
258113,"Business & Industrial|CNC, Metalworking & Manufacturing|Metalworking Supplies|Abrasives|Burrs",1,ENABLED,DISABLED,DISABLED
87141,"Sporting Goods|Camping & Hiking|Camping Cooking Supplies|Camping Cookware",1,ENABLED,DISABLED,DISABLED
113355,"Crafts|Home Arts & Crafts|Upholstery Tools & Equipment",1,ENABLED,DISABLED,DISABLED
52365,"Clothing, Shoes & Accessories|Men|Men's Accessories|Hats",1,ENABLED,DISABLED,DISABLED
31802,"Health & Beauty|Makeup|Lips|Lip Gloss",1,ENABLED,DISABLED,DISABLED
